reward_quality,smooth_penalty,rebuf_penalty,sum_reward
219.1,31.4,14.749999999999988,172.95,112.66603773584872
220.8,31.0,71.75000000000036,118.04999999999966,112.7657407407404
222.8,19.2,87.00000000000057,116.59999999999945,112.8354545454542
230.1,22.8,33.99999999999992,173.30000000000007,113.91517857142824
250.8,20.8,3.25,226.75,115.89473684210495
221.8,22.3,25.49999999999995,174.00000000000006,116.89655172413762
226.4,18.0,16.499999999999982,191.90000000000003,118.16779661016918
240.2,25.6,7.000000000000003,207.6,119.65833333333303
219.6,33.8,41.249999999999915,144.5500000000001,120.06639344262265
241.4,24.0,60.75000000000019,156.6499999999998,120.65645161290293
221.1,37.8,22.99999999999996,160.30000000000004,121.285714285714
243.1,18.2,134.25000000000122,90.64999999999878,120.80703124999968
214.8,30.6,188.49999999999997,-4.2999999999999545,118.88230769230738
246.9,12.4,56.50000000000013,177.9999999999999,119.77803030303
257.5,10.4,53.00000000000008,194.0999999999999,120.88731343283551
209.4,35.6,65.00000000000024,108.79999999999977,120.7095588235291
251.7,35.4,70.50000000000033,145.79999999999967,121.07318840579677
242.5,26.5,23.999999999999957,192.00000000000006,122.08642857142824
180.0,56.9,57.000000000000135,66.09999999999985,121.29788732394334
228.6,34.9,86.25000000000055,107.44999999999943,121.10555555555526
242.5,24.1,0.7500000000000001,217.65,122.42808219178052
227.8,21.5,15.249999999999986,191.05,123.3554054054051
185.3,57.0,152.50000000000148,-24.200000000001467,121.38799999999969
209.9,40.5,232.49999999999747,-63.099999999997465,118.96052631578921
253.8,22.8,61.750000000000206,169.2499999999998,119.6136363636361
184.2,22.0,40.74999999999991,121.45000000000007,119.63717948717924
213.4,32.9,56.00000000000012,124.49999999999989,119.69873417721494
209.1,41.2,87.50000000000057,80.39999999999941,119.20749999999973
203.3,24.8,38.49999999999991,140.00000000000009,119.46419753086393
253.2,13.8,41.249999999999915,198.15000000000006,120.4237804878046
198.9,39.4,54.7500000000001,104.7499999999999,120.23493975903588
227.3,38.8,60.500000000000185,127.99999999999982,120.3273809523807
253.3,29.3,6.750000000000003,217.25,121.46764705882327
183.1,43.1,53.25000000000008,86.74999999999991,121.06395348837184
246.3,49.7,22.74999999999996,173.85000000000005,121.67068965517217
234.0,17.7,44.749999999999964,171.55000000000004,122.23749999999977
254.5,40.6,33.24999999999992,180.6500000000001,122.89382022471887
230.8,14.7,67.00000000000027,149.09999999999974,123.18499999999977
244.2,14.7,15.499999999999986,214.0,124.18296703296681
237.7,17.1,0.0,220.6,125.23097826086935
206.2,51.9,2.25,152.04999999999998,125.51935483870946
225.6,21.6,59.50000000000017,144.49999999999983,125.72127659574446
208.1,38.2,51.75000000000006,118.14999999999992,125.6415789473682
